rep,method,lambda_val,threshold_val,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
40,modified,0.1,0.25,7.6368708350109245,0.5,0.8458134227461924,-0.17860168411996705,-0.17860168411996705,0.06808671454773625,0.0,152,False,0.06578947368421052
41,modified,0.1,0.25,13.243986152880833,0.2,0.8001119479911744,0.09721813861509938,0.09721813861509938,0.06211870229408134,0.0,150,False,0.06666666666666667
42,modified,0.1,0.25,7.518204440544082,0.3,0.9000028939600497,0.17868855633252642,0.17868855633252642,0.0800563989211302,0.0,149,False,0.06
43,modified,0.1,0.25,9.302877974006392,0.4,0.8071057326652211,-0.13150474732509498,-0.13150474732509498,0.06035524018227976,0.0,146,False,0.0684931506849315
44,modified,0.1,0.25,8.70927123318042,0.3,0.8620795886044078,0.032090369948029364,0.032090369948029364,0.07209833418774468,0.0,151,False,0.06622516556291391
45,modified,0.1,0.25,7.8089588130051,0.4,0.8318514535593717,0.42713388531541396,0.42713388531541396,0.06941340994718509,0.0,152,False,0.058823529411764705
46,modified,0.1,0.25,8.927310105306493,0.4,0.9055428884744737,-0.12140346775868185,-0.12140346775868185,0.0778767886303037,0.0,149,False,0.06711409395973154
47,modified,0.1,0.25,15.938008726813798,0.1,0.7237671715352215,0.45186983269307096,0.45186983269307096,0.050563283063675336,0.0,142,False,0.06293706293706294
48,modified,0.1,0.25,7.105493368343299,0.4,0.9065739161620956,-0.19366213793057963,-0.19366213793057963,0.07885954131785927,0.0,158,False,0.06329113924050633
49,modified,0.1,0.25,11.184941790033271,0.4,0.8690665648309424,-0.42770411204855446,-0.42770411204855446,0.06965792701394304,0.0,149,False,0.06711409395973154
50,modified,0.1,0.25,11.758578167839376,0.7,0.8179154302972037,-0.20610690786573332,-0.20610690786573332,0.06188213295594723,0.0,146,False,0.0684931506849315
51,modified,0.1,0.25,17.29785209010225,0.4,0.7446572933305555,-0.15463194805134176,-0.15463194805134176,0.05232099497211721,0.0,140,False,0.07142857142857142
52,modified,0.1,0.25,11.058414190138553,0.3,0.8465985736648589,-0.19520307793315061,-0.19520307793315061,0.06858612546794958,0.0,150,False,0.06666666666666667
53,modified,0.1,0.25,10.889053198094103,0.3,0.8326545841546935,0.2835318530731734,0.2835318530731734,0.0635101340991063,0.0,136,False,0.07352941176470588
54,modified,0.1,0.25,13.218350494186351,0.3,0.7166113434210265,-0.007482993193758991,-0.007482993193758991,0.04774864974629393,0.0,129,False,0.07751937984496124
